example_id,contract_id,category,label_id,clause_text,normalized_text_sha256,word_count,char_count,fold,split
cuad_00001,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Anti-Assignment,1,"All rights (under any applicable intellectual property right) granted herein are not sublicenseable,<omitted>transferable or assignable.",af891b98e116865ceedb3dd7b9d507a112e035bdcebf1790ceff539fd63cfb8a,15,136,0,train
cuad_00002,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Audit Rights,0,Any such inspection will be conducted in a manner that does not unreasonably interfere with i-Escrow's business activities and with no less than fifteen (15) days notice.,b5eacc8b554017a31e706c6b76157368f8316ba1a83b34b980c9940aec7d7d10,27,170,0,train
cuad_00003,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Audit Rights,0,"Once every twelve (12) months, 2TheMart through a CPA may inspect and audit such records to verify reports.",20f2ee68166411158e23c938ca5ee88c446d34d62cc77df95b28048ab3c5f344,18,107,0,train
cuad_00004,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Audit Rights,0,"Such inspection shall be at 2TheMart's expense; however, if the audit reveals overdue payments in excess of ten percent (10%) of the payments owed to date, i-Escrow shall immediately pay all cost of such audit.",afbbc9d916f4b75c067635c9b7ec0646955424fd91ee7a60f5a3459eb98193c2,35,210,0,train
cuad_00005,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Governing Law,4,This Agreement will be governed and construed in accordance with the laws of the State of California without giving effect to conflict of laws principles.,b97ecc04cf37a22dd2020d8903b2701b25b0af7a6f478dac554567ea951917f0,25,154,0,train
cuad_00006,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,License Grant,8,"2TheMart hereby grants to i-Escrow a worldwide, non-exclusive right to use, reproduce, distribute, publicly perform, publicly display and digitally perform the 2TheMart Content soley with respect to  and in conjunction with the Co-Branded Site all with the prior written consent of 2TheMart, for the term of this Agreement.",755cdc69716d933b4e9db1ccb120c1bc0bb6260e707723c6bece02754c277f2a,48,323,0,train
cuad_00007,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,License Grant,8,"i-Escrow hereby grants to 2TheMart a worldwide, non-exclusive right to use, reproduce, distribute, publicly perform, publicly display and digitally perform the i-Escrow Content on or in conjunction with 2TheMart auctions.",6ef74d86973ac5139466cdcfd4fe18d7777b197aeb1e1a113c5dd3e2f0ef2dc1,30,221,0,train
cuad_00008,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Post-Termination Services,7,"Notwithstanding the foregoing, unless this Agreement was terminated for a material breach, all provisions of this Agreement shall survive to the extent necessary for i-Escrow to complete any Customer transactions which are pending at the time of expiration or termination.",2114df146a4d5ce56f333e1d6d73eb20a835ea3b6b61e957adaaac5466d64f64,40,272,0,train
cuad_00009,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Revenue/Profit Sharing,5,"After the Launch Date, i-Escrow shall pay 2TheMart advertising fees based on the number of Transaction Inquiries.",670bcc9815e6576081afe29a0b34a5cb1186c58e9aa9ab5b82b0ec93b2bd0495,17,113,0,train
cuad_00010,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,Revenue/Profit Sharing,5,This advertising fees shall consist of a per Transaction Inquiry amount calculated by multiplying 0.025% by the amount of the average Transaction from all Customers in the preceding quarter.,577a7e603c47983fb2913fefccfa88a2892bc69357e78bd363b171265337fce2,29,190,0,train
