category,raw_annotations,raw_contracts,clean_unique_passages,clean_contracts,retained_pct,test,train,validation,label_id
Audit Rights,613,214,605,213,98.69494290375204,59,485,61,0
Anti-Assignment,612,374,556,354,90.84967320261438,56,445,55,1
Insurance,531,166,521,166,98.11676082862523,52,417,52,2
Cap On Liability,632,275,505,227,79.90506329113924,51,404,50,3
Governing Law,457,437,442,422,96.71772428884027,44,353,45,4
Revenue/Profit Sharing,395,166,381,161,96.45569620253166,38,305,38,5
Minimum Commitment,392,165,363,156,92.60204081632652,36,291,36,6
Post-Termination Services,409,182,361,174,88.26405867970661,37,288,36,7
License Grant,716,255,351,181,49.022346368715084,35,281,35,8
Ip Ownership Assignment,296,124,271,114,91.55405405405406,27,217,27,9
